second,factor
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,0.9444444444444444
19,0.9473684210526316
20,0.95
21,0.9047619047619048
22,0.9090909090909091
23,0.9130434782608696
24,0.9166666666666666
25,0.92
26,0.9230769230769231
27,0.9259259259259259
28,0.9285714285714286
29,0.9310344827586207
30,0.9333333333333333
31,0.935483870967742
32,0.9375
33,0.9393939393939394
34,0.9411764705882353
35,0.9142857142857143
36,0.9166666666666666
37,0.9189189189189189
38,0.9210526315789473
39,0.9230769230769231
40,0.925
41,0.926829268292683
42,0.9285714285714286
43,0.9302325581395349
44,0.9318181818181819
45,0.9333333333333333
46,0.9347826086956522
47,0.9361702127659575
48,0.9375
49,0.9387755102040817
50,0.94
51,0.9215686274509804
52,0.9230769230769231
53,0.9245283018867925
54,0.9259259259259259
55,0.9272727272727272
56,0.9285714285714286
57,0.9122807017543859
58,0.896551724137931
59,0.8983050847457628
60,0.9
61,0.9016393442622951
62,0.8870967741935484
63,0.873015873015873
64,0.875
65,0.8769230769230769
66,0.8787878787878788
67,0.8805970149253731
68,0.8823529411764706
69,0.8840579710144928
70,0.8857142857142857
71,0.8873239436619719
72,0.875
73,0.863013698630137
74,0.8648648648648649
75,0.8533333333333333
76,0.8421052631578947
77,0.8311688311688312
78,0.8205128205128205
79,0.810126582278481
80,0.8
81,0.7901234567901234
82,0.7804878048780488
83,0.7710843373493976
84,0.7619047619047619
85,0.7529411764705882
86,0.7558139534883721
87,0.7586206896551724
88,0.75
89,0.7415730337078652
90,0.7333333333333334
